ENGLISH,IDGLOSS,SN,SENSE,RECNUMB,TOPIC
"weird","peculiar",3.0070000000000000e+03," ",1.7160000000000000e+03,27
"odd","peculiar",3.0070000000000000e+03," ",1.7160000000000000e+03,27
"peculiar","peculiar",3.0070000000000000e+03," ",1.7160000000000000e+03,27
"bizarre","peculiar",3.0070000000000000e+03," ",1.7160000000000000e+03,27
"shell","shell",3.0080000000000000e+03," ",1.7170000000000000e+03,3
"shrub","bush",3.0090000000000000e+03," ",1.7180000000000000e+03,3
"bush","bush",3.0090000000000000e+03," ",1.7180000000000000e+03,3
"type up","type up",3.0100000000000000e+03," ",1.7190000000000000e+03,0
"sphere","sphere",3.0110000000000000e+03," ",1.7200000000000000e+03,46
"ball","sphere",3.0110000000000000e+03," ",1.7200000000000000e+03,46
"lettuce","sphere",3.0110000000000000e+03," ",1.7200000000000000e+03,46
"cabbage","sphere",3.0110000000000000e+03," ",1.7200000000000000e+03,46
"globe","sphere",3.0110000000000000e+03," ",1.7200000000000000e+03,46
"ball","ball.3",3.0120000000000000e+03," ",1.7210000000000000e+03,46
"ball","ball.2",3.0140000000000000e+03," ",1.7220000000000000e+03,46
"sphere","ball.2",3.0140000000000000e+03," ",1.7220000000000000e+03,46
"round","ball.2",3.0140000000000000e+03," ",1.7220000000000000e+03,46
"spherical","ball.2",3.0140000000000000e+03," ",1.7220000000000000e+03,46
"globalisation","globalisation",3.0150000000000000e+03," ",1.7230000000000000e+03,47
"global","globalisation",3.0150000000000000e+03," ",1.7230000000000000e+03,47
"pineapple","pineapple.1a",3.0160000000000000e+03," ",1.7240000000000000e+03,19
"tractor","tractor.1",3.0170000000000000e+03," ",1.7250000000000000e+03,7
"pumpkin","pumpkin.1a",3.0190000000000000e+03," ",1.7260000000000000e+03,19
"breakdown","breakdown",3.0200000000000000e+03," ",1.7270000000000000e+03,7
"devastation","breakdown",3.0200000000000000e+03," ",1.7270000000000000e+03,7
"devastate","breakdown",3.0200000000000000e+03," ",1.7270000000000000e+03,7
"devastated","breakdown",3.0200000000000000e+03," ",1.7270000000000000e+03,7
"fit","match.1",3.0210000000000000e+03," ",1.7280000000000000e+03,0
"match","match.1",3.0210000000000000e+03," ",1.7280000000000000e+03,0
"merger","match.1",3.0210000000000000e+03," ",1.7280000000000000e+03,0
"suit","match.1",3.0210000000000000e+03," ",1.7280000000000000e+03,0
"mesh","match.1",3.0210000000000000e+03," ",1.7280000000000000e+03,0
"merge","match.1",3.0210000000000000e+03," ",1.7280000000000000e+03,0
"congestion","crowded.2",3.0220000000000000e+03," ",1.7290000000000000e+03,0
"crowded","crowded.2",3.0220000000000000e+03," ",1.7290000000000000e+03,0
"assessment","calculate.1",3.0230000000000000e+03," ",1.7300000000000000e+03,4
"solution","calculate.1",3.0230000000000000e+03," ",1.7300000000000000e+03,4
"calculation","calculate.1",3.0230000000000000e+03," ",1.7300000000000000e+03,4
"assess","calculate.1",3.0230000000000000e+03," ",1.7300000000000000e+03,4
"solve","calculate.1",3.0230000000000000e+03," ",1.7300000000000000e+03,4
"work out","calculate.1",3.0230000000000000e+03," ",1.7300000000000000e+03,4
"calculate","calculate.1",3.0230000000000000e+03," ",1.7300000000000000e+03,4
"gears","gears",3.0240000000000000e+03," ",1.7310000000000000e+03,7
"machine","gears",3.0240000000000000e+03," ",1.7310000000000000e+03,7
"motor","gears",3.0240000000000000e+03," ",1.7310000000000000e+03,7
"engine","gears",3.0240000000000000e+03," ",1.7310000000000000e+03,7
"engineer","gears",3.0240000000000000e+03," ",1.7310000000000000e+03,7
"engineering","gears",3.0240000000000000e+03," ",1.7310000000000000e+03,7
"skeleton","skeleton",3.0250000000000000e+03," ",1.7320000000000000e+03,6
"ribs","skeleton",3.0250000000000000e+03," ",1.7320000000000000e+03,6
"rib cage","skeleton",3.0250000000000000e+03," ",1.7320000000000000e+03,6
"emaciated","skeleton",3.0250000000000000e+03," ",1.7320000000000000e+03,6
"many","many",3.0260000000000000e+03," ",1.7330000000000000e+03,39
"excitement","excited.1a",3.0270000000000000e+03,"1",1.7340000000000000e+03,18
"interest","excited.1a",3.0270000000000000e+03,"1",1.7340000000000000e+03,18
"keenness","excited.1a",3.0270000000000000e+03,"1",1.7340000000000000e+03,18
"excited","excited.1a",3.0270000000000000e+03,"1",1.7340000000000000e+03,18
"interested","excited.1a",3.0270000000000000e+03,"1",1.7340000000000000e+03,18
"keen","excited.1a",3.0270000000000000e+03,"1",1.7340000000000000e+03,18
"exciting","excited.1a",3.0270000000000000e+03,"1",1.7340000000000000e+03,18
"interesting","excited.1a",3.0270000000000000e+03,"1",1.7340000000000000e+03,18
"excite","excited.1a",3.0270000000000000e+03,"1",1.7340000000000000e+03,18
"worry","worry.2",3.0280000000000000e+03,"2",1.7350000000000000e+03,18
"anxiety","worry.2",3.0280000000000000e+03,"2",1.7350000000000000e+03,18
"concern","worry.2",3.0280000000000000e+03,"2",1.7350000000000000e+03,18
"fret","worry.2",3.0280000000000000e+03,"2",1.7350000000000000e+03,18
"worried","worry.2",3.0280000000000000e+03,"2",1.7350000000000000e+03,18
"anxious","worry.2",3.0280000000000000e+03,"2",1.7350000000000000e+03,18
"concerned","worry.2",3.0280000000000000e+03,"2",1.7350000000000000e+03,18
"fretful","worry.2",3.0280000000000000e+03,"2",1.7350000000000000e+03,18
"measles","measles",3.0290000000000000e+03,"1",1.7360000000000000e+03,26
"hospital","hospital.1a",3.0300000000000000e+03,"2",1.7370000000000000e+03,26
"chiropractor","chiropractor",3.0310999999999999e+03," ",1.7380000000000000e+03,26
"build up","build.up",3.0320000000000000e+03," ",1.7390000000000000e+03,0
"reconstruction","build.up",3.0320000000000000e+03," ",1.7390000000000000e+03,0
"reconstruct","build.up",3.0320000000000000e+03," ",1.7390000000000000e+03,0
"frustration","frustrated.2a",3.0340000000000000e+03," ",1.7400000000000000e+03,18
"anxiety","frustrated.2a",3.0340000000000000e+03," ",1.7400000000000000e+03,18
"frustrated","frustrated.2a",3.0340000000000000e+03," ",1.7400000000000000e+03,18
"frustrate","frustrated.2a",3.0340000000000000e+03," ",1.7400000000000000e+03,18
"anxious","frustrated.2a",3.0340000000000000e+03," ",1.7400000000000000e+03,18
"stress","stress.2",3.0350000000000000e+03," ",1.7410000000000000e+03,18
"anxiety","stress.2",3.0350000000000000e+03," ",1.7410000000000000e+03,18
"niggle","stress.2",3.0350000000000000e+03," ",1.7410000000000000e+03,18
"mystery","stress.2",3.0350000000000000e+03," ",1.7410000000000000e+03,18
"stressed","stress.2",3.0350000000000000e+03," ",1.7410000000000000e+03,18
"anxious","stress.2",3.0350000000000000e+03," ",1.7410000000000000e+03,18
"niggled","stress.2",3.0350000000000000e+03," ",1.7410000000000000e+03,18
"puzzled","stress.2",3.0350000000000000e+03," ",1.7410000000000000e+03,18
"expansion","expand.1a",3.0360000000000000e+03," ",1.7420000000000000e+03,39
"swelling","expand.1a",3.0360000000000000e+03," ",1.7420000000000000e+03,39
"expand","expand.1a",3.0360000000000000e+03," ",1.7420000000000000e+03,39
"swell","expand.1a",3.0360000000000000e+03," ",1.7420000000000000e+03,39
"machine","machine.1a",3.0400000000000000e+03," ",1.7430000000000000e+03,7
"factory","machine.1a",3.0400000000000000e+03," ",1.7430000000000000e+03,7
"run","machine.1a",3.0400000000000000e+03," ",1.7430000000000000e+03,7
"motor","motor",3.0420000000000000e+03," ",1.7440000000000000e+03,7
"engine","motor",3.0420000000000000e+03," ",1.7440000000000000e+03,7
"typewriter","type.1a",3.0440000000000000e+03," ",1.7450000000000000e+03,52
"typist","type.1a",3.0440000000000000e+03," ",1.7450000000000000e+03,52
"office","type.1a",3.0440000000000000e+03," ",1.7450000000000000e+03,52
"type","type.1a",3.0440000000000000e+03," ",1.7450000000000000e+03,52
"typewritten","type.1a",3.0440000000000000e+03," ",1.7450000000000000e+03,52
"typed","type.1a",3.0440000000000000e+03," ",1.7450000000000000e+03,52
"mixture","mix.1a",3.0480000000000000e+03,"1",1.7460000000000000e+03,0
"mix","mix.1a",3.0480000000000000e+03,"1",1.7460000000000000e+03,0
"mix up","mix.1a",3.0480000000000000e+03,"1",1.7460000000000000e+03,0
"mingle","mix.1a",3.0480000000000000e+03,"1",1.7460000000000000e+03,0
"among","mix.1a",3.0480000000000000e+03,"1",1.7460000000000000e+03,0
"complication","complicated",3.0490000000000000e+03,"2",1.7470000000000000e+03,0
"complicated","complicated",3.0490000000000000e+03,"2",1.7470000000000000e+03,0
"complex","complicated",3.0490000000000000e+03,"2",1.7470000000000000e+03,0
"complicate","complicated",3.0490000000000000e+03,"2",1.7470000000000000e+03,0
"scrambled eggs","scrambled eggs",3.0500000000000000e+03," ",1.7480000000000000e+03,19
"clay","clay",3.0510000000000000e+03," ",1.7490000000000000e+03,0
"dough","clay",3.0510000000000000e+03," ",1.7490000000000000e+03,0
"knead","clay",3.0510000000000000e+03," ",1.7490000000000000e+03,0
"guffaw","guffaw",3.0520000000000000e+03," ",1.7500000000000000e+03,1
"laugh at","guffaw",3.0520000000000000e+03," ",1.7500000000000000e+03,1
"jaws","jaws",3.0530000000000000e+03," ",1.7510000000000000e+03,0
"crocodile","jaws",3.0530000000000000e+03," ",1.7510000000000000e+03,0
"alligator","jaws",3.0530000000000000e+03," ",1.7510000000000000e+03,0
"nag","nag",3.0540000000000000e+03," ",1.7520000000000000e+03,2
"surprise","speechless.2",3.0550000000000000e+03," ",1.7530000000000000e+03,18
"amazement","speechless.2",3.0550000000000000e+03," ",1.7530000000000000e+03,18
"open-mouthed","speechless.2",3.0550000000000000e+03," ",1.7530000000000000e+03,18
"agape","speechless.2",3.0550000000000000e+03," ",1.7530000000000000e+03,18
"flabbergasted","speechless.2",3.0550000000000000e+03," ",1.7530000000000000e+03,18
"speechless","speechless.2",3.0550000000000000e+03," ",1.7530000000000000e+03,18
"dumbfounded","speechless.2",3.0550000000000000e+03," ",1.7530000000000000e+03,18
"bum","cheeks",3.0560000000000000e+03," ",1.7540000000000000e+03,6
"bottom","cheeks",3.0560000000000000e+03," ",1.7540000000000000e+03,6
"buttocks","cheeks",3.0560000000000000e+03," ",1.7540000000000000e+03,6
"cheeks","cheeks",3.0560000000000000e+03," ",1.7540000000000000e+03,6
"arse","cheeks",3.0560000000000000e+03," ",1.7540000000000000e+03,6
"buns","cheeks",3.0560000000000000e+03," ",1.7540000000000000e+03,6
"simmer","simmer.1a",3.0570000000000000e+03," ",1.7550000000000000e+03,11
"cook","cook.1a",3.0590000000000000e+03,"1",1.7560000000000000e+03,11
"chef","cook.1a",3.0590000000000000e+03,"1",1.7560000000000000e+03,11
"cooking","cook.1a",3.0590000000000000e+03,"1",1.7560000000000000e+03,11
"stove","cook.1a",3.0590000000000000e+03,"1",1.7560000000000000e+03,11
"cooker","cook.1a",3.0590000000000000e+03,"1",1.7560000000000000e+03,11
"kitchen","kitchen.2",3.0600000000000000e+03,"2",1.7570000000000000e+03,43
"monkey","monkey.1a",3.0640000000000000e+03," ",1.7580000000000000e+03,3
"profit","profit.3a",3.0650000000000000e+03," ",1.7590000000000000e+03,33
"ball-up","ball-up.1a",3.0660000000000000e+03," ",1.7600000000000000e+03,48
"burrow","burrow",3.0670000000000000e+03," ",1.7610000000000000e+03,0
"claw","burrow",3.0670000000000000e+03," ",1.7610000000000000e+03,0
"dig","burrow",3.0670000000000000e+03," ",1.7610000000000000e+03,0
"tiger","animal.1",3.0680000000000000e+03," ",1.7620000000000000e+03,3
"lion","animal.1",3.0680000000000000e+03," ",1.7620000000000000e+03,3
"crawl","crawl.2",3.0690000000000000e+03," ",1.7630000000000000e+03,1
"testicles","testicles",3.0700000000000000e+03," ",1.7640000000000000e+03,45
"balls","testicles",3.0700000000000000e+03," ",1.7640000000000000e+03,45
"koala","koala",3.0730000000000000e+03," ",1.7650000000000000e+03,3
"mushroom","mushroom.1a",3.0740000000000000e+03," ",1.7660000000000000e+03,19
"tomato","tomato.2a",3.0760000000000000e+03," ",1.7670000000000000e+03,19
"cake","cake",3.0810000000000000e+03," ",1.7680000000000000e+03,19
"picnic","picnic.3",3.0820000000000000e+03," ",1.7690000000000000e+03,0
"party","party.3",3.0830000000000000e+03," ",1.7700000000000000e+03,0
"region","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"district","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"division","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"department","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"suburb","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"regional","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"divisional","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"departmental","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"regionally","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"divisionally","region.1a",3.0840000000000000e+03," ",1.7710000000000000e+03,23
"spider","spider",3.0840999999999999e+03," ",1.7720000000000000e+03,3
"insect","spider",3.0840999999999999e+03," ",1.7720000000000000e+03,3
"bug","spider",3.0840999999999999e+03," ",1.7720000000000000e+03,3
"beetle","spider",3.0840999999999999e+03," ",1.7720000000000000e+03,3
"crawl","spider",3.0840999999999999e+03," ",1.7720000000000000e+03,3
"toad","cane-toad",3.0841999999999998e+03," ",1.7730000000000000e+03,3
"cane toad","cane-toad",3.0841999999999998e+03," ",1.7730000000000000e+03,3
"farm","farm.3",3.0843000000000002e+03," ",1.7740000000000000e+03,0
"tractor","farm.3",3.0843000000000002e+03," ",1.7740000000000000e+03,0
"abscond","abscond",3.0850000000000000e+03," ",1.7750000000000000e+03,0
"exploit","abscond",3.0850000000000000e+03," ",1.7750000000000000e+03,0
"scratches","scratches",3.0870000000000000e+03," ",1.7760000000000000e+03,0
"scratched","scratches",3.0870000000000000e+03," ",1.7760000000000000e+03,0
"scratch","scratches",3.0870000000000000e+03," ",1.7760000000000000e+03,0
"pile","mass.1",3.0890000000000000e+03," ",1.7770000000000000e+03,0
"heap","mass.1",3.0890000000000000e+03," ",1.7770000000000000e+03,0
"mound","mass.1",3.0890000000000000e+03," ",1.7770000000000000e+03,0
"accumulation","accumulate",3.0900000000000000e+03," ",1.7780000000000000e+03,33
"increase","accumulate",3.0900000000000000e+03," ",1.7780000000000000e+03,33
"accumulate","accumulate",3.0900000000000000e+03," ",1.7780000000000000e+03,33
"foam","foam",3.0910000000000000e+03," ",1.7790000000000000e+03,0
"froth","foam",3.0910000000000000e+03," ",1.7790000000000000e+03,0
"juice","juice",3.0960000000000000e+03," ",1.7800000000000000e+03,14
"juicer","juice",3.0960000000000000e+03," ",1.7800000000000000e+03,14
"orange squeezer","juice",3.0960000000000000e+03," ",1.7800000000000000e+03,14
"scones","scones",3.0970000000000000e+03," ",1.7810000000000000e+03,11
"itch","itch.1a",3.0980000000000000e+03,"1",1.7820000000000000e+03,1
"scratch","itch.1a",3.0980000000000000e+03,"1",1.7820000000000000e+03,1
"rash","itch.1a",3.0980000000000000e+03,"1",1.7820000000000000e+03,1
"itchy","itch.1a",3.0980000000000000e+03,"1",1.7820000000000000e+03,1
"coarse","coarse",3.0990000000000000e+03,"2",1.7830000000000000e+03,38
"rough","coarse",3.0990000000000000e+03,"2",1.7830000000000000e+03,38
"crumbs","crumbs",3.1000000000000000e+03,"1",1.7840000000000000e+03,0
"specks","spots.1a",3.1010000000000000e+03,"2",1.7850000000000000e+03,46
"speckles","spots.1a",3.1010000000000000e+03,"2",1.7850000000000000e+03,46
"spots","spots.1a",3.1010000000000000e+03,"2",1.7850000000000000e+03,46
"dots","spots.1a",3.1010000000000000e+03,"2",1.7850000000000000e+03,46
"speckled","spots.1a",3.1010000000000000e+03,"2",1.7850000000000000e+03,46
"speckle","spots.1a",3.1010000000000000e+03,"2",1.7850000000000000e+03,46
"spotted","spots.1a",3.1010000000000000e+03,"2",1.7850000000000000e+03,46
"dotted","spots.1a",3.1010000000000000e+03,"2",1.7850000000000000e+03,46
"stealing","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"robbery","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"theft","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"burglary","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"robber","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"withdrawal","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"interception","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"steal","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"rob","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"thieve","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"burgle","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"withdraw","steal.1a",3.1020000000000000e+03," ",1.7860000000000000e+03,29
"document","written.document",3.1030000000000000e+03," ",1.7870000000000000e+03,0
"subtraction","subtract.1a",3.1040000000000000e+03," ",1.7880000000000000e+03,4
"deduction","subtract.1a",3.1040000000000000e+03," ",1.7880000000000000e+03,4
"deletion","subtract.1a",3.1040000000000000e+03," ",1.7880000000000000e+03,4
"subtract","subtract.1a",3.1040000000000000e+03," ",1.7880000000000000e+03,4
"deduct","subtract.1a",3.1040000000000000e+03," ",1.7880000000000000e+03,4
"delete","subtract.1a",3.1040000000000000e+03," ",1.7880000000000000e+03,4
"minus","subtract.1a",3.1040000000000000e+03," ",1.7880000000000000e+03,4
"rake","rake",3.1060000000000000e+03," ",1.7890000000000000e+03,0
"bear","bear.1a",3.1070000000000000e+03," ",1.7900000000000000e+03,3
"koala","bear.1a",3.1070000000000000e+03," ",1.7900000000000000e+03,3
"digital watch","digital.watch",3.1080000000000000e+03," ",1.7910000000000000e+03,0
"trumpet","trumpet",3.1090000000000000e+03," ",1.7920000000000000e+03,0
"top","lid.2",3.1100000000000000e+03," ",1.7930000000000000e+03,0
"cap","lid.2",3.1100000000000000e+03," ",1.7930000000000000e+03,0
"lid","lid.2",3.1100000000000000e+03," ",1.7930000000000000e+03,0
"jar","lid.2",3.1100000000000000e+03," ",1.7930000000000000e+03,0
"screw-top","jar",3.1110000000000000e+03," ",1.7940000000000000e+03,0
"top","jar",3.1110000000000000e+03," ",1.7940000000000000e+03,0
"cap","jar",3.1110000000000000e+03," ",1.7940000000000000e+03,0
"lid","jar",3.1110000000000000e+03," ",1.7940000000000000e+03,0
"jar","jar",3.1110000000000000e+03," ",1.7940000000000000e+03,0
"sky","sky.1a",3.1120000000000000e+03," ",1.7950000000000000e+03,22
"heavens","sky.1a",3.1120000000000000e+03," ",1.7950000000000000e+03,22
"ceiling","sky.1a",3.1120000000000000e+03," ",1.7950000000000000e+03,22
"roof","sky.1a",3.1120000000000000e+03," ",1.7950000000000000e+03,22
"overhead","sky.1a",3.1120000000000000e+03," ",1.7950000000000000e+03,22
"misunderstanding","misunderstand.1",3.1130000000000000e+03," ",1.7960000000000000e+03,32
"misunderstand","misunderstand.1",3.1130000000000000e+03," ",1.7960000000000000e+03,32
"bewilder","misunderstand.1",3.1130000000000000e+03," ",1.7960000000000000e+03,32
"sunroof","sunroof",3.1140000000000000e+03," ",1.7970000000000000e+03,7
"nurse","nurse.4",3.1160000000000000e+03," ",1.7980000000000000e+03,26
"beret","beret.2",3.1170000000000000e+03," ",1.7990000000000000e+03,9
"pillow","pillow.3",3.1180000000000000e+03," ",1.8000000000000000e+03,0
"extinguish","extinguish.light",3.1190000000000000e+03," ",1.8010000000000000e+03,20
"turn off","extinguish.light",3.1190000000000000e+03," ",1.8010000000000000e+03,20
"ceiling","ceiling.1a",3.1200000000000000e+03," ",1.8020000000000000e+03,43
"awning","ceiling.1a",3.1200000000000000e+03," ",1.8020000000000000e+03,43
"covering","ceiling.1a",3.1200000000000000e+03," ",1.8020000000000000e+03,43
"shade","ceiling.1a",3.1200000000000000e+03," ",1.8020000000000000e+03,43
"room","ceiling.1a",3.1200000000000000e+03," ",1.8020000000000000e+03,43
"overhead","ceiling.1a",3.1200000000000000e+03," ",1.8020000000000000e+03,43
"shaded","ceiling.1a",3.1200000000000000e+03," ",1.8020000000000000e+03,43
"head","hat.head.1a",3.1210000000000000e+03," ",1.8030000000000000e+03,6
"hat","hat.head.1a",3.1210000000000000e+03," ",1.8030000000000000e+03,6
"christening","baptise.3",3.1240000000000000e+03," ",1.8040000000000000e+03,42
"baptism","baptise.3",3.1240000000000000e+03," ",1.8040000000000000e+03,42
"christened","baptise.3",3.1240000000000000e+03," ",1.8040000000000000e+03,42
"baptised","baptise.3",3.1240000000000000e+03," ",1.8040000000000000e+03,42
"flight attendant","air-hostess.1a",3.1270000000000000e+03," ",1.8050000000000000e+03,50
"flight steward","air-hostess.1a",3.1270000000000000e+03," ",1.8050000000000000e+03,50
"air-hostess","air-hostess.1a",3.1270000000000000e+03," ",1.8050000000000000e+03,50
"learning","learn.1",3.1280000000000000e+03," ",1.8060000000000000e+03,32
"learn","learn.1",3.1280000000000000e+03," ",1.8060000000000000e+03,32
"not know","not.know.1a",3.1290000000000000e+03," ",1.8070000000000000e+03,32
"forehead","forehead",3.1310000000000000e+03," ",1.8080000000000000e+03,6
"forget","forget.1",3.1320000000000000e+03," ",1.8090000000000000e+03,32
"go blank","forget.1",3.1320000000000000e+03," ",1.8090000000000000e+03,32
"Protestant","Protestant.1",3.1330000000000000e+03," ",1.8100000000000000e+03,42
"Protestantism","Protestant.1",3.1330000000000000e+03," ",1.8100000000000000e+03,42
"Christian","Protestant.1",3.1330000000000000e+03," ",1.8100000000000000e+03,42
"Christianity","Protestant.1",3.1330000000000000e+03," ",1.8100000000000000e+03,42
"wisdom","wise",3.1340000000000000e+03," ",1.8110000000000000e+03,0
"wise","wise",3.1340000000000000e+03," ",1.8110000000000000e+03,0
"single-minded","single-minded",3.1350000000000000e+03," ",1.8120000000000000e+03,0
"learning","learn.2a",3.1360000000000000e+03," ",1.8130000000000000e+03,32
"learn","learn.2a",3.1360000000000000e+03," ",1.8130000000000000e+03,32
"experience","take.in.experience",3.1370000000000000e+03," ",1.8140000000000000e+03,32
"acquisition","take.in.experience",3.1370000000000000e+03," ",1.8140000000000000e+03,32
"acquire","take.in.experience",3.1370000000000000e+03," ",1.8140000000000000e+03,32
"take in","take.in.experience",3.1370000000000000e+03," ",1.8140000000000000e+03,32
"pick up","take.in.experience",3.1370000000000000e+03," ",1.8140000000000000e+03,32
"absorb","take.in.experience",3.1370000000000000e+03," ",1.8140000000000000e+03,32
"sleep","sleep.1a",3.1400000000000000e+03," ",1.8160000000000000e+03,1
"sleeping","sleep.1a",3.1400000000000000e+03," ",1.8160000000000000e+03,1
"salute","salute",3.1410000000000000e+03," ",1.8170000000000000e+03,0
"hi","hi.1",3.1410999999999999e+03," ",1.8180000000000000e+03,24
"hello","hi.1",3.1410999999999999e+03," ",1.8180000000000000e+03,24
"talent","talent.1a",3.1420000000000000e+03," ",1.8190000000000000e+03,0
"competence","talent.1a",3.1420000000000000e+03," ",1.8190000000000000e+03,0
"skill","talent.1a",3.1420000000000000e+03," ",1.8190000000000000e+03,0
"fluency","talent.1a",3.1420000000000000e+03," ",1.8190000000000000e+03,0
"talented","talent.1a",3.1420000000000000e+03," ",1.8190000000000000e+03,0
"competent","talent.1a",3.1420000000000000e+03," ",1.8190000000000000e+03,0
"skilled","talent.1a",3.1420000000000000e+03," ",1.8190000000000000e+03,0
"fluent","talent.1a",3.1420000000000000e+03," ",1.8190000000000000e+03,0
"country","country.1a",3.1450000000000000e+03," ",1.8210000000000000e+03,0
"nation","country.1a",3.1450000000000000e+03," ",1.8210000000000000e+03,0
"nationality","country.1a",3.1450000000000000e+03," ",1.8210000000000000e+03,0
"countryside","country.1a",3.1450000000000000e+03," ",1.8210000000000000e+03,0
"adult","adult",3.1460000000000000e+03,"1",1.8220000000000000e+03,0
"busybody","busybody",3.1470000000000000e+03,"2",1.8230000000000000e+03,0
"show-off","show-off.3",3.1480000000000000e+03,"3",1.8240000000000000e+03,0
"mum","mum.1a",3.1520000000000000e+03," ",1.8250000000000000e+03,17
"mummy","mum.1a",3.1520000000000000e+03," ",1.8250000000000000e+03,17
"mother","mum.1a",3.1520000000000000e+03," ",1.8250000000000000e+03,17
"dream","dream.1a",3.1520999999999999e+03," ",1.8260000000000000e+03,32
"day-dream","dream.1a",3.1520999999999999e+03," ",1.8260000000000000e+03,32
"imagination","dream.1a",3.1520999999999999e+03," ",1.8260000000000000e+03,32
"imagine","dream.1a",3.1520999999999999e+03," ",1.8260000000000000e+03,32
"imaginative","dream.1a",3.1520999999999999e+03," ",1.8260000000000000e+03,32
"prize","prize",3.1550000000000000e+03,"1",1.8270000000000000e+03,0
"award","prize",3.1550000000000000e+03,"1",1.8270000000000000e+03,0
"souvenir","prize",3.1550000000000000e+03,"1",1.8270000000000000e+03,0
"memory","prize",3.1550000000000000e+03,"1",1.8270000000000000e+03,0
"memorise","prize",3.1550000000000000e+03,"1",1.8270000000000000e+03,0
"remember","prize",3.1550000000000000e+03,"1",1.8270000000000000e+03,0
"determination","resolute",3.1560000000000000e+03,"2",1.8280000000000000e+03,32
"resolution","resolute",3.1560000000000000e+03,"2",1.8280000000000000e+03,32
"determined","resolute",3.1560000000000000e+03,"2",1.8280000000000000e+03,32
"resolute","resolute",3.1560000000000000e+03,"2",1.8280000000000000e+03,32
"mind","mind.1a",3.1570000000000000e+03," ",1.8290000000000000e+03,6
"mental","mind.1a",3.1570000000000000e+03," ",1.8290000000000000e+03,6
"crazy","mind.1a",3.1570000000000000e+03," ",1.8290000000000000e+03,6
"silly","mind.1a",3.1570000000000000e+03," ",1.8290000000000000e+03,6
"reminder","remind.1a",3.1600000000000000e+03," ",1.8310000000000000e+03,0
"remind","remind.1a",3.1600000000000000e+03," ",1.8310000000000000e+03,0
"pirate","pirate.2",3.1620000000000000e+03,"1",1.8320000000000000e+03,0
"biased","one-eyed",3.1630000000000000e+03,"2",1.8330000000000000e+03,36
"one-eyed","one-eyed",3.1630000000000000e+03,"2",1.8330000000000000e+03,36
"fragrance","smell.1a",3.1650000000000000e+03," ",1.8340000000000000e+03,44
"perfume","smell.1a",3.1650000000000000e+03," ",1.8340000000000000e+03,44
"smell","smell.1a",3.1650000000000000e+03," ",1.8340000000000000e+03,44
"fragrant","smell.1a",3.1650000000000000e+03," ",1.8340000000000000e+03,44
"perfumed","smell.1a",3.1650000000000000e+03," ",1.8340000000000000e+03,44
"day","all-day-long",3.1670000000000000e+03," ",1.8350000000000000e+03,49
"straighten","straighten.up.1a",3.1680000000000000e+03," ",1.8360000000000000e+03,0
"straighten up","straighten.up.1a",3.1680000000000000e+03," ",1.8360000000000000e+03,0
"drunkard","drunk.2a",3.1680999999999999e+03," ",1.8370000000000000e+03,14
"piss pot","drunk.2a",3.1680999999999999e+03," ",1.8370000000000000e+03,14
"drunk","drunk.2a",3.1680999999999999e+03," ",1.8370000000000000e+03,14
"pissed","drunk.2a",3.1680999999999999e+03," ",1.8370000000000000e+03,14
"sloshed","drunk.2a",3.1680999999999999e+03," ",1.8370000000000000e+03,14
"inebriated","drunk.2a",3.1680999999999999e+03," ",1.8370000000000000e+03,14
"high school","high school.1",3.1690000000000000e+03," ",1.8380000000000000e+03,15
"fart","fart.1",3.1700000000000000e+03," ",1.8390000000000000e+03,1
"farting","fart.1",3.1700000000000000e+03," ",1.8390000000000000e+03,1
"smell","fart.1",3.1700000000000000e+03," ",1.8390000000000000e+03,1
"odour","fart.1",3.1700000000000000e+03," ",1.8390000000000000e+03,1
"break wind","fart.1",3.1700000000000000e+03," ",1.8390000000000000e+03,1
"smelly","fart.1",3.1700000000000000e+03," ",1.8390000000000000e+03,1
